,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
35,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
36,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
37,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
38,87.0,72.0,79.0,250.0,63.0,63.0,71.0,74.0,74.0,74.0,82.0,82.0,65.0,78.0,90.0,78.0,64.0,74.0,82.0,62.0,78.0,76.0,78.0,64.0,67.0,62.0,78.0,63.0,67.0,61.0,63.0
39,250.0,250.0,250.0,250.0,250.0,60.0,61.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
40,250.0,250.0,250.0,250.0,250.0,72.0,72.0,250.0,250.0,66.0,77.0,250.0,250.0,250.0,88.0,88.0,78.0,78.0,77.0,250.0,250.0,78.0,78.0,78.0,250.0,79.0,77.0,250.0,250.0,250.0,74.0
41,70.0,250.0,250.0,250.0,78.0,250.0,250.0,77.0,81.0,75.0,250.0,77.0,250.0,250.0,250.0,250.0,75.0,75.0,250.0,250.0,78.0,250.0,250.0,250.0,250.0,250.0,74.0,250.0,85.0,79.0,82.0
42,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,59.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
43,70.0,70.0,100.0,100.0,71.0,100.0,70.0,58.0,71.0,71.0,68.0,67.0,69.0,71.0,88.0,72.0,59.0,71.0,72.0,55.0,75.0,72.0,63.0,59.0,71.0,75.0,70.0,63.0,67.0,73.0,76.0
44,100.0,250.0,100.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,100.0,250.0,250.0,250.0,250.0,250.0,52.0,62.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0,250.0
