,0,1,2,3,4,5,6
118,250.0,250.0,250.0,250.0,250.0,250.0,250.0
119,76.0,55.0,75.0,30.0,61.0,41.0,61.0
120,38.0,43.0,43.0,48.0,48.0,48.0,48.0
121,64.0,70.0,61.0,23.0,61.0,50.0,59.0
122,37.0,67.0,48.0,45.0,51.0,27.0,45.0
123,68.0,66.0,63.0,41.0,57.0,56.0,57.0
124,250.0,250.0,250.0,40.0,250.0,40.0,250.0
125,47.0,52.0,73.0,48.0,52.0,49.0,48.0
126,66.0,55.0,55.0,25.0,34.0,25.0,56.0
127,37.0,36.0,70.0,36.0,45.0,31.0,37.0
128,250.0,250.0,250.0,250.0,250.0,250.0,250.0
129,250.0,250.0,250.0,250.0,250.0,250.0,250.0
130,250.0,49.0,250.0,40.0,71.0,43.0,71.0
131,52.0,46.0,62.0,46.0,46.0,32.0,32.0
132,250.0,250.0,250.0,250.0,250.0,250.0,250.0
133,250.0,250.0,250.0,250.0,250.0,250.0,250.0
134,250.0,250.0,250.0,250.0,250.0,250.0,250.0
135,250.0,250.0,250.0,250.0,250.0,250.0,250.0
136,250.0,250.0,250.0,250.0,250.0,250.0,250.0
137,76.0,52.0,43.0,55.0,50.0,45.0,42.0
138,42.0,250.0,250.0,22.0,250.0,22.0,46.0
139,250.0,250.0,250.0,250.0,250.0,250.0,250.0
140,250.0,250.0,250.0,250.0,250.0,250.0,250.0
141,250.0,250.0,250.0,250.0,250.0,250.0,250.0
142,250.0,250.0,250.0,250.0,250.0,250.0,250.0
143,250.0,250.0,250.0,250.0,250.0,250.0,250.0
144,38.0,44.0,38.0,33.0,36.0,33.0,36.0
145,250.0,250.0,250.0,250.0,250.0,250.0,250.0
146,57.0,56.0,250.0,250.0,250.0,250.0,250.0
147,250.0,250.0,250.0,250.0,24.0,24.0,41.0
148,52.0,60.0,46.0,45.0,45.0,34.0,55.0
149,56.0,56.0,32.0,32.0,22.0,45.0,35.0
150,57.0,51.0,32.0,32.0,32.0,32.0,250.0
151,250.0,40.0,250.0,250.0,250.0,250.0,44.0
152,44.0,44.0,25.0,25.0,250.0,250.0,250.0
153,250.0,250.0,250.0,250.0,250.0,250.0,250.0
154,250.0,250.0,250.0,250.0,250.0,250.0,39.0
155,51.0,39.0,47.0,51.0,33.0,53.0,35.0
156,32.0,29.0,32.0,36.0,32.0,21.0,44.0
157,53.0,22.0,0.0,28.0,24.0,34.0,55.0
158,250.0,250.0,39.0,39.0,15.0,39.0,18.0
159,0.0,18.0,250.0,27.0,39.0,0.0,57.0
160,46.0,46.0,33.0,30.0,0.0,30.0,0.0
161,0.0,0.0,0.0,0.0,0.0,250.0,37.0
162,27.0,26.0,30.0,42.0,38.0,0.0,0.0
163,0.0,0.0,16.0,0.0,0.0,17.0,30.0
164,26.0,30.0,0.0,0.0,22.0,26.0,33.0
165,0.0,0.0,0.0,30.0,0.0,0.0,0.0
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0
169,0.0,25.0,0.0,0.0,16.0,0.0,0.0
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,0.0,0.0,250.0,0.0,0.0,0.0,0.0
172,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,0.0,0.0,0.0,0.0,0.0,0.0,250.0
174,250.0,250.0,250.0,250.0,250.0,250.0,250.0
175,250.0,250.0,250.0,250.0,250.0,250.0,0.0
176,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,32.0,0.0,23.0,0.0,21.0,21.0,0.0
182,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187,0.0,250.0,0.0,250.0,0.0,250.0,250.0
188,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189,0.0,0.0,0.0,0.0,0.0,0.0,250.0
190,250.0,250.0,250.0,250.0,250.0,250.0,0.0
191,0.0,0.0,0.0,0.0,250.0,0.0,0.0
192,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,250.0,0.0,0.0,250.0,250.0,250.0,0.0
197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,0.0,0.0,0.0,0.0,0.0,0.0,250.0
205,250.0,250.0,250.0,250.0,250.0,250.0,250.0
